skill_tree,name,image,content
,"Temukan lebih banyak",,"Toram Online Konsol video game terbaik RPG Toram Online - MMORPG"
,"Tebasan Kuat (Hard Hit)","https://toram-id.space/img/skill/blade/hardhit.png","Skill level 1  0 diskusi Type: active,skill fisik MP Cost: 100 Unsur: Tergantung Senjata Jarak: 2m Combo Awal: ya Combo Tengah: ya Deskripsi: Menyerang dengan brutal menggunakan senjata. Berkesempatan membuat target serangan ""Bergidik"". Game Multiplayer Super Besar EFEK MENGGUNAKAN PEDANG 1 TANGAN (OHS) Peluang Bergidik +50% EFEK MENGGUNAKAN PEDANG 2 TANGAN (THS) Daya +50"
,"Tebasan Tajam (Astute)","https://toram-id.space/img/skill/blade/astute.png","Skill level 1  0 diskusi Type: active,skill fisik MP Cost: 200 Unsur: Tergantung Senjata Jarak: 2m Combo Awal: ya Combo Tengah: ya Deskripsi: Memukul kuat target dengan gerakan cepat. Critical Rate +25 % selama beberapa detik jika skill ini berhasil diaktifkan. Efek jika menggunakan Pedang MP Cost -100 Efek jika menggunakan Pedang Raya Daya +50 Menambah Critical Rate Buff"
,"Pedang Sonik (Sonic Blade)","https://toram-id.space/img/skill/blade/sonicblade.png","Skill level 1  0 diskusi Type: active,skill fisik MP Cost: 200 Unsur: Tergantung Senjata Jarak: 12m Combo Awal: ya Combo Tengah: ya Deskripsi: Menusuk musuh sambil menyudutkan musuh. Jangkauan dan Critical Rate meningkat seiring level. Kekuatan meningkat bila digunakan terus-menerus. Efek jika menggunakan Pedang Jangkauan Aktivasi +4m Menambah Critical Rate Efek jika menggunakan Pedang Raya Daya +50 Jangkauan (Horizontal) +2m"
,"Mahir Pedang (Sword Mastery)","https://toram-id.space/img/skill/blade/swordmastery.png","Skill level 1  0 diskusi Type: pasif Unsur: netral Deskripsi: Keahlian pedang meningkat. Daya serangan meningkat saat menggunakan pedang satu atau dua tangan."
,"Tebasan Gesit (Quick Slash)","https://toram-id.space/img/skill/blade/quickslash.png","Skill level 1  0 diskusi Type: pasif Unsur: netral Deskripsi: Kecepatan penggunaan pedang meningkat. Kecepatan serangan meningkat saat menggunakan pedang satu atau dua tangan."
,"Tebasan Pemicu (Trigger Slash)","https://toram-id.space/img/skill/blade/tiggerslash.png","Skill level 2  1 diskusi Type: active,skill fisik MP Cost: 300 Unsur: api Jarak: 2m Combo Awal: ya Combo Tengah: ya Deskripsi: Memberikan kekuatan pada pedang saat menebas. Meningkatkan Attack MP Heal sampai skill berikutnya. Kecepatan gerak naik satu kali dengan skill ini. Efek jika menggunakan Pedang Bidikan Sempurna Efek jika menggunakanPedang Raya Daya +100"
,"Udara Spiral (Spiral Air)","https://toram-id.space/img/skill/blade/spiralair.png","Skill level 2  0 diskusi Type: active,skill fisik MP Cost: 300 Unsur: Tergantung Senjata Jarak: 2m Combo Awal: ya Combo Tengah: ya Deskripsi: Tebasan angin muncul saat menusuk target. Jika Udara Spiral berhasil diaktifkan, Critical Damage akan meningkat selama beberapa detik. Efek jika menggunakan Pedang Menambah Critical Damage Buff Efek jika menggunakan Pedang Raya Daya +50"
,"Jurus Ahli Pedang (Sword Techniques)","https://toram-id.space/img/skill/blade/swordtechniques.png","Skill level 2  0 diskusi Type: pasif Unsur: netral Deskripsi: Belajar kemahiran pedang. Keampuhan skill pedang meningkat."
,"Rampage (Rampage)","https://toram-id.space/img/skill/blade/rampage.png","Skill level 3  0 diskusi Type: active,skill fisik MP Cost: 500 Unsur: netral Jarak: 0m Combo Awal: ya Combo Tengah: ya Deskripsi: Murka dan menyerang membabi buta terus-menerus. Serangan normal meningkat signifikan 10 kali lipat dan serangan kuat akan dilakukan setelah 10 kali serangan. Tidak dapat digunakan berulang kali. Efek jika menggunakan Pedang Serangan Normal +5 - +50 Efek jika menggunakan Pedang Raya Pukulan Penghabisan +400"
,"Badai Pedang (Sword Tempest)","https://toram-id.space/img/skill/blade/swordtempest.png","Skill level 3  0 diskusi Type: active,skill fisik MP Cost: 400 Unsur: Tergantung Senjata Jarak: 12m Combo Awal: ya Combo Tengah: ya Deskripsi: Serangan pedang dahsyat penghasil badai. Badai akan terus melukai musuh. Musuh akan terhisap sekali. Efek jika menggunakan Pedang Daya Pusaran Angin naik sesuai DEX Efek jika menggunakan Pedang Raya Daya Peluru +100 Daya Peluru naik sesuai STR"
,"Jeritan Perang (War Cry)","https://toram-id.space/img/skill/blade/warcry.png","Skill level 3  0 diskusi Type: active MP Cost: 300 Unsur: netral Jarak: 0m Combo Awal: ya Combo Tengah: ya Deskripsi: Pekikan perang. ATK naik beberapa saat. Menghilangkan status ""Takut"". Efek jika menggunakan Pedang Durasi +50det Efek jika menggunakan Pedang Raya Menambah ATK"
,"Makar Ligat (Swift Attack)","https://toram-id.space/img/skill/thumb/makar-ligat-swift-attack48.png","Skill level 3  0 diskusi Type: active,skill fisik MP Cost: 300 Unsur: Tergantung Senjata Jarak: 2m Combo Awal: ya Combo Tengah: ya Deskripsi: Pura-pura menyerang dengan pedang dan menendang. Menyerang dengan ""prorasi serangan normal"". Dapat efek pengurang MP Cost skill yang dipakai berikutnya bila level skill mencapai maksimum. Efek jika menggunakan Pedang Ganda MP Cost -100 Berpeluang membuat target Jatuh"
,"Penghancur Meteor (Meteor Breaker)","https://toram-id.space/img/skill/blade/meteorbreaker.png","Skill level 4  0 diskusi Type: active,skill fisik MP Cost: 600 Unsur: Tergantung Senjata Jarak: 2m Combo Awal: ya Combo Tengah: ya Deskripsi: Sambaran kuat bak meteor. Berpeluang memberikan status ""Pening"" ke target, memberikan serangan area saat mendarat. Menjadi kebal total saat mengaktifkan skill. Efek jika menggunakan Pedang Daya Hit ke-2 naik sesuai DEX Peluang Pening +75% Efek jika menggunakan Pedang Ganda Peluang Pening +75% Efek jika menggunakan Pedang Raya Daya Hit pertama +200 Daya Hit pertama naik sesuai STR"
